//=========================================================================================================================================
// NPCS
//=========================================================================================================================================
0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
381            46             00         195            116            02             //MU Allies General
382            46             00         140            061            02             //Illusion Sorcerer Elder
383            46             00         139            059            02             //Alliance Sacred Item Storage
384            46             00         192            116            02             //Illusion Castle Sacred Item Sto
end

//=========================================================================================================================================
// MONSTERS
//=========================================================================================================================================
4
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
389            46             10         131            093            -1             //Illusion Sorcerer Spirit
390            46             10         131            089            -1             //Illusion Sorcerer Spirit
391            46             10         131            085            -1             //Illusion Sorcerer Spirit
389            46             10         168            123            -1             //Illusion Sorcerer Spirit
390            46             10         164            123            -1             //Illusion Sorcerer Spirit
391            46             10         160            123            -1             //Illusion Sorcerer Spirit
389            46             10         169            048            -1             //Illusion Sorcerer Spirit
390            46             10         169            052            -1             //Illusion Sorcerer Spirit
391            46             10         169            056            -1             //Illusion Sorcerer Spirit
389            46             10         206            085            -1             //Illusion Sorcerer Spirit
390            46             10         206            081            -1             //Illusion Sorcerer Spirit
391            46             10         206            077            -1             //Illusion Sorcerer Spirit
389            46             10         158            085            -1             //Illusion Sorcerer Spirit
390            46             10         168            094            -1             //Illusion Sorcerer Spirit
391            46             10         169            075            -1             //Illusion Sorcerer Spirit
389            46             10         179            085            -1             //Illusion Sorcerer Spirit
390            46             10         157            066            -1             //Illusion Sorcerer Spirit
391            46             10         162            066            -1             //Illusion Sorcerer Spirit
389            46             10         150            078            -1             //Illusion Sorcerer Spirit
390            46             10         150            073            -1             //Illusion Sorcerer Spirit
391            46             10         176            103            -1             //Illusion Sorcerer Spirit
389            46             10         181            103            -1             //Illusion Sorcerer Spirit
390            46             10         187            098            -1             //Illusion Sorcerer Spirit
391            46             10         187            092            -1             //Illusion Sorcerer Spirit
389            46             10         197            057            -1             //Illusion Sorcerer Spirit
390            46             10         141            113            -1             //Illusion Sorcerer Spirit
391            46             10         193            061            -1             //Illusion Sorcerer Spirit
389            46             10         145            109            -1             //Illusion Sorcerer Spirit
390            46             10         189            065            -1             //Illusion Sorcerer Spirit
391            46             10         149            105            -1             //Illusion Sorcerer Spirit
389            46             10         167            087            -1             //Illusion Sorcerer Spirit
390            46             10         171            083            -1             //Illusion Sorcerer Spirit
end
