//ItemIndex   	EffectIndex	EffectValue	EffectLevel   	ColorR	ColorG	ColorB	Size	CMain	CSide
349		32003		2		0		0.19	0.42	0.70	1.25	0.0	0.0
349		32003		3		0		0.19	0.42	0.70	1.25	0.0	0.0
349		32003		4		0		0.19	0.42	0.70	1.25	0.0	0.0

//349		32003		1		10		0.80	0.00	0.00	0.25	0.0	0.0
//349		32003		1		10		0.80	0.58	0.12	0.25	0.0	0.0
//349		32003		2		10		0.80	0.00	0.00	0.25	0.0	0.0
//349		32003		2		10		0.80	0.58	0.12	0.25	0.0	0.0
//349		32003		3		10		0.80	0.00	0.00	0.13	0.0	0.0
//349		32003		3		10		0.80	0.58	0.12	0.13	0.0	0.0
//349		32003		4		10		0.80	0.00	0.00	0.13	0.0	0.0
//349		32003		4		10		0.80	0.58	0.12	0.13	0.0	0.0
//349		32003		5		10		0.80	0.00	0.00	0.13	0.0	0.0
//349		32003		5		10		0.80	0.58	0.12	0.13	0.0	0.0
//349		32003		6		10		0.80	0.00	0.00	0.13	0.0	0.0
//349		32003		6		10		0.80	0.58	0.12	0.13	0.0	0.0
end
