0
//      Section Type    Level   Dur     Skill   Luck    Option  ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
	7           5      0       0     0       1      1        0	0	0	0	255	255	255	255	255	 255	      0  
	8           5      0       0     0       1      1        0	0	0	0	255	255	255	255	255	 255	      0  
	9           5      0       0     0       1      1        0	0	0	0	255	255	255	255	255	 255	      0  
	10          5      0       0     0       1      1        0	0	0	0	255	255	255	255	255	 255	      0  
	11          5      0       0     0       1      1        0	0	0	0	255	255	255	255	255	 255	      0  
	7           0      2       0     0       1      1        0	0	0	0	255	255	255	255	255	 255	      0  
	8           0      2       0     0       1      1        0	0	0	0	255	255	255	255	255	 255	      0  
	9           0      2       0     0       1      1        0	0	0	0	255	255	255	255	255	 255	      0  
	10          0      2       0     0       1      1        0	0	0	0	255	255	255	255	255	 255	      0  
	11          0      2       0     0       1      1        0	0	0	0	255	255	255	255	255	 255	      0  
	7           6      3       0     0       1      1        0	0	0	0	255	255	255	255	255	 255	      0  
	8           6      3       0     0       1      1        0	0	0	0	255	255	255	255	255	 255	      0  
	9           6      3       0     0       1      1        0	0	0	0	255	255	255	255	255	 255	      0  
	10          6      3       0     0       1      1        0	0	0	0	255	255	255	255	255	 255	      0  
	11          6      3       0     0       1      1        0	0	0	0	255	255	255	255	255	 255	      0  
end

