0
//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
14          0      0       1     0       0      0        0	0	0	0	255	255	255	255	255	 255	      0  
14          1      0       1     0       0      0        0	0	0	0	255	255	255	255	255	 255	      0  
14          2      0       1     0       0      0        0	0	0	0	255	255	255	255	255	 255	      0  
14          3      0       1     0       0      0        0	0	0	0	255	255	255	255	255	 255	      0  
14          4      0       1     0       0      0        0	0	0	0	255	255	255	255	255	 255	      0  
14          5      0       1     0       0      0        0	0	0	0	255	255	255	255	255	 255	      0  
14          6      0       1     0       0      0        0	0	0	0	255	255	255	255	255	 255	      0  
14          8      0       1     0       0      0        0	0	0	0	255	255	255	255	255	 255	      0  
14          0      0       3     0       0      0        0	0	0	0	255	255	255	255	255	 255	      0  
14          1      0       3     0       0      0        0	0	0	0	255	255	255	255	255	 255	      0  
14          2      0       3     0       0      0        0	0	0	0	255	255	255	255	255	 255	      0  
14          3      0       3     0       0      0        0	0	0	0	255	255	255	255	255	 255	      0  
14          4      0       3     0       0      0        0	0	0	0	255	255	255	255	255	 255	      0  
14          5      0       3     0       0      0        0	0	0	0	255	255	255	255	255	 255	      0  
14          6      0       3     0       0      0        0	0	0	0	255	255	255	255	255	 255	      0  
14          8      0       3     0       0      0        0	0	0	0	255	255	255	255	255	 255	      0  
14          0      1       1     0       0      0        0	0	0	0	255	255	255	255	255	 255	      0  
14          1      1       1     0       0      0        0	0	0	0	255	255	255	255	255	 255	      0  
end
